ts,open,high,low,close,volume
2025-04-22T07:00:00Z,115.419998168945,115.509803771973,115.360000610352,115.419998168945,223288
2025-04-23T07:00:00Z,115.419998168945,115.558502197266,114.283401489258,115.419998168945,506175
2025-04-24T07:00:00Z,115.5,115.554100036621,115.417900085449,115.5,289355
2025-04-25T07:00:00Z,115.5,115.594398498535,115.427001953125,115.5,166862
2025-04-28T07:00:00Z,115.5,115.585296630859,115.440002441406,115.5,231835
2025-04-29T07:00:00Z,115.540000915527,115.636901855469,115.43399810791,115.529998779297,272456
2025-04-30T07:00:00Z,115.540000915527,115.643997192383,115.468002319336,115.559997558594,301296
2025-05-01T07:00:00Z,115.599998474121,115.620002746582,115.517997741699,115.620002746582,269995
2025-05-02T07:00:00Z,115.580001831055,115.677696228027,115.513397216797,115.599998474121,263794
2025-05-06T07:00:00Z,115.620002746582,115.680099487305,115.522796630859,115.599998474121,253299
2025-05-07T07:00:00Z,115.639999389648,115.674598693848,115.499603271484,115.639999389648,318014
2025-05-08T07:00:00Z,115.660003662109,115.73999786377,115.566902160645,115.660003662109,178736
2025-05-09T07:00:00Z,115.680000305176,115.761001586914,115.594299316406,115.680000305176,284840
2025-05-12T07:00:00Z,115.680000305176,115.73999786377,115.638801574707,115.680000305176,197101
2025-05-13T07:00:00Z,115.680000305176,115.738998413086,115.639801025391,115.680000305176,226457
2025-05-14T07:00:00Z,115.699996948242,115.963096618652,115.59700012207,115.699996948242,228484
2025-05-15T07:00:00Z,115.699996948242,115.800003051758,115.611396789551,115.73999786377,628202
2025-05-16T07:00:00Z,115.76000213623,115.865196228027,115.642997741699,115.76000213623,496958
2025-05-19T07:00:00Z,115.779998779297,115.814498901367,115.680000305176,115.76000213623,234831
2025-05-20T07:00:00Z,115.779998779297,115.875,115.690002441406,115.779998779297,290755
2025-05-21T07:00:00Z,115.779998779297,115.94580078125,114.617897033691,115.76000213623,151673
2025-05-22T07:00:00Z,115.800003051758,115.885200500488,115.753196716309,115.839996337891,119129
2025-05-23T07:00:00Z,115.839996337891,116.300003051758,115.776000976563,115.860000610352,312162
2025-05-27T07:00:00Z,115.860000610352,115.92440032959,115.78800201416,115.860000610352,234894
2025-05-28T07:00:00Z,115.860000610352,115.972099304199,115.793899536133,115.879997253418,478910
2025-05-29T07:00:00Z,115.919998168945,115.980697631836,115.818000793457,115.919998168945,712938
2025-05-30T07:00:00Z,115.940002441406,116.016998291016,115.879997253418,115.900001525879,335751
2025-06-02T07:00:00Z,115.919998168945,116,115.89949798584,115.940002441406,246770
