ts,open,high,low,close,volume
2025-04-21T13:30:00Z,1,1,1,1,0
2025-04-22T13:30:00Z,1,1,1,1,0
2025-04-23T13:30:00Z,1,1,1,1,0
2025-04-24T13:30:00Z,1,1,1,1,0
2025-04-25T13:30:00Z,1,1,1,1,0
2025-04-28T13:30:00Z,1,1,1,1,0
2025-04-29T13:30:00Z,1,1,1,1,0
2025-04-30T13:30:00Z,1,1,1,1,0
2025-05-01T13:30:00Z,1,1,1,1,0
2025-05-02T13:30:00Z,1,1,1,1,0
2025-05-05T13:30:00Z,1,1,1,1,0
2025-05-06T13:30:00Z,1,1,1,1,0
2025-05-07T13:30:00Z,1,1,1,1,0
2025-05-08T13:30:00Z,1,1,1,1,0
2025-05-09T13:30:00Z,1,1,1,1,0
2025-05-12T13:30:00Z,1,1,1,1,0
2025-05-13T13:30:00Z,1,1,1,1,0
2025-05-14T13:30:00Z,1,1,1,1,0
2025-05-15T13:30:00Z,1,1,1,1,0
2025-05-16T13:30:00Z,1,1,1,1,0
2025-05-19T13:30:00Z,1,1,1,1,0
2025-05-20T13:30:00Z,1,1,1,1,0
2025-05-21T13:30:00Z,1,1,1,1,0
2025-05-22T13:30:00Z,1,1,1,1,0
2025-05-23T13:30:00Z,1,1,1,1,0
2025-05-27T13:30:00Z,1,1,1,1,0
2025-05-28T13:30:00Z,1,1,1,1,0
2025-05-29T13:30:00Z,1,1,1,1,0
2025-05-30T13:30:00Z,1,1,1,1,0
2025-06-02T13:30:00Z,1,1,1,1,0
2025-06-03T13:30:00Z,1,1,1,1,0
2025-06-04T13:30:00Z,1,1,1,1,0
2025-06-05T13:30:00Z,1,1,1,1,0
2025-06-06T13:30:00Z,1,1,1,1,0
2025-06-09T13:30:00Z,1,1,1,1,0
2025-06-10T13:30:00Z,1,1,1,1,0
2025-06-11T13:30:00Z,1,1,1,1,0
2025-06-12T13:30:00Z,1,1,1,1,0
2025-06-13T13:30:00Z,1,1,1,1,0
2025-06-16T13:30:00Z,1,1,1,1,0
2025-06-17T13:30:00Z,1,1,1,1,0
2025-06-18T13:30:00Z,1,1,1,1,0
2025-06-20T13:30:00Z,1,1,1,1,0
2025-06-23T13:30:00Z,1,1,1,1,0
2025-06-24T13:30:00Z,1,1,1,1,0
2025-06-25T13:30:00Z,1,1,1,1,0
2025-06-26T13:30:00Z,1,1,1,1,0
2025-06-27T13:30:00Z,1,1,1,1,0
2025-06-30T13:30:00Z,1,1,1,1,0
2025-07-01T13:30:00Z,1,1,1,1,0
2025-07-02T13:30:00Z,1,1,1,1,0
2025-07-03T13:30:00Z,1,1,1,1,0
2025-07-07T13:30:00Z,1,1,1,1,0
2025-07-08T13:30:00Z,1,1,1,1,0
2025-07-09T13:30:00Z,1,1,1,1,0
2025-07-10T13:30:00Z,1,1,1,1,0
2025-07-11T13:30:00Z,1,1,1,1,0
2025-07-14T13:30:00Z,1,1,1,1,0
2025-07-15T13:30:00Z,1,1,1,1,0
2025-07-16T13:30:00Z,1,1,1,1,0
2025-07-17T13:30:00Z,1,1,1,1,0
2025-07-18T13:30:00Z,1,1,1,1,0
2025-07-21T13:30:00Z,1,1,1,1,0
2025-07-22T13:30:00Z,1,1,1,1,0
2025-07-23T13:30:00Z,1,1,1,1,0
2025-07-24T13:30:00Z,1,1,1,1,0
2025-07-25T13:30:00Z,1,1,1,1,0
2025-07-28T13:30:00Z,1,1,1,1,0
2025-07-29T13:30:00Z,1,1,1,1,0
2025-07-30T13:30:00Z,1,1,1,1,0
2025-07-31T13:30:00Z,1,1,1,1,0
2025-08-01T13:30:00Z,1,1,1,1,0
2025-08-04T13:30:00Z,1,1,1,1,0
2025-08-05T13:30:00Z,1,1,1,1,0
2025-08-06T13:30:00Z,1,1,1,1,0
2025-08-07T13:30:00Z,1,1,1,1,0
2025-08-08T13:30:00Z,1,1,1,1,0
2025-08-11T13:30:00Z,1,1,1,1,0
2025-08-12T13:30:00Z,1,1,1,1,0
2025-08-13T13:30:00Z,1,1,1,1,0
2025-08-14T13:30:00Z,1,1,1,1,0
2025-08-15T13:30:00Z,1,1,1,1,0
2025-08-18T13:30:00Z,1,1,1,1,0
2025-08-19T13:30:00Z,1,1,1,1,0
2025-08-20T13:30:00Z,1,1,1,1,0
2025-08-21T13:30:00Z,1,1,1,1,0
2025-08-22T13:30:00Z,1,1,1,1,0
2025-08-25T13:30:00Z,1,1,1,1,0
2025-08-26T13:30:00Z,1,1,1,1,0
2025-08-27T13:30:00Z,1,1,1,1,0
2025-08-28T13:30:00Z,1,1,1,1,0
2025-08-29T13:30:00Z,1,1,1,1,0
2025-09-02T13:30:00Z,1,1,1,1,0
2025-09-03T13:30:00Z,1,1,1,1,0
2025-09-04T13:30:00Z,1,1,1,1,0
2025-09-05T13:30:00Z,1,1,1,1,0
2025-09-08T13:30:00Z,1,1,1,1,0
2025-09-09T13:30:00Z,1,1,1,1,0
2025-09-10T13:30:00Z,1,1,1,1,0
2025-09-11T13:30:00Z,1,1,1,1,0
2025-09-12T13:30:00Z,1,1,1,1,0
2025-09-15T13:30:00Z,1,1,1,1,0
2025-09-16T13:30:00Z,1,1,1,1,0
2025-09-17T13:30:00Z,1,1,1,1,0
2025-09-18T13:30:00Z,1,1,1,1,0
2025-09-19T13:30:00Z,1,1,1,1,0
2025-09-22T13:30:00Z,1,1,1,1,0
2025-09-23T13:30:00Z,1,1,1,1,0
2025-09-24T13:30:00Z,1,1,1,1,0
2025-09-25T13:30:00Z,1,1,1,1,0
2025-09-26T13:30:00Z,1,1,1,1,0
2025-09-29T13:30:00Z,1,1,1,1,0
2025-09-30T13:30:00Z,1,1,1,1,0
2025-10-01T13:30:00Z,1,1,1,1,0
2025-10-02T13:30:00Z,1,1,1,1,0
