ts,open,high,low,close,volume
2025-01-29T16:00:00.000Z,3101.11,3105.34,3072.57,3086.09,40981678.694121
2025-01-29T17:00:00.000Z,3086.09,3132.08,3084.66,3111.59,39682937.414543
2025-01-29T18:00:00.000Z,3111.6,3135.16,3089.64,3127.94,44764287.938496
2025-01-29T19:00:00.000Z,3127.94,3153.22,3054.06,3126.5,306004466.103924
2025-01-29T20:00:00.000Z,3126.49,3182.52,3091,3136.56,171990470.299609
2025-01-29T21:00:00.000Z,3136.56,3163.36,3113.64,3140.61,89263017.760666
2025-01-29T22:00:00.000Z,3140.6,3159.35,3124.5,3132.45,36987487.341798
2025-01-29T23:00:00.000Z,3132.45,3149,3109.5,3113.9,34359416.035668
2025-01-30T00:00:00.000Z,3113.9,3127.18,3091.06,3124.42,43651375.517133
2025-01-30T01:00:00.000Z,3124.42,3155.51,3121,3138.39,42439422.76227
2025-01-30T02:00:00.000Z,3138.39,3155.37,3128.07,3155.37,41411047.923763
2025-01-30T03:00:00.000Z,3155.36,3202.58,3153.64,3201.5,60534386.691068
2025-01-30T04:00:00.000Z,3201.5,3215.73,3187.42,3196.81,52344227.811938
2025-01-30T05:00:00.000Z,3196.83,3198.9,3182.75,3194.99,22241737.904131
2025-01-30T06:00:00.000Z,3194.99,3208.38,3184.68,3186.1,27194899.866983
2025-01-30T07:00:00.000Z,3186.11,3194.8,3178.76,3191.04,30080552.85856
2025-01-30T08:00:00.000Z,3191.04,3211.35,3181.1,3205.01,34222649.709934
2025-01-30T09:00:00.000Z,3205.01,3229.82,3200.59,3221.54,49739728.498879
2025-01-30T10:00:00.000Z,3221.55,3223,3207.76,3219.69,24845254.200612
2025-01-30T11:00:00.000Z,3219.69,3227.8,3214.74,3222.71,30893017.923593
2025-01-30T12:00:00.000Z,3222.71,3224.28,3209.24,3220.01,26361456.719624
2025-01-30T13:00:00.000Z,3220,3275.97,3215.76,3263.14,114829410.378852
2025-01-30T14:00:00.000Z,3263.14,3281,3241.05,3271.24,133131256.580249
2025-01-30T15:00:00.000Z,3271.23,3280,3248.31,3255.3,100715642.967459
2025-01-30T16:00:00.000Z,3255.3,3279.95,3249.06,3278.93,48813754.124427
2025-01-30T17:00:00.000Z,3278.94,3283.43,3257.42,3272.6,46225484.340091
