ts,open,high,low,close,volume
2026-01-20T00:00:00.000Z,10.965096,10.965096,10.965096,10.965096,0
2026-01-21T00:00:00.000Z,10.966134,10.966134,10.966134,10.966134,0
2026-01-22T00:00:00.000Z,10.967207,10.967207,10.967207,10.967207,0
2026-01-23T00:00:00.000Z,10.968254,10.968254,10.968254,10.968254,0
2026-01-26T00:00:00.000Z,10.971413,10.971413,10.971413,10.971413,0
2026-01-27T00:00:00.000Z,10.972448,10.972448,10.972448,10.972448,0
2026-01-28T00:00:00.000Z,10.97348,10.97348,10.97348,10.97348,0
2026-01-29T00:00:00.000Z,10.974522,10.974522,10.974522,10.974522,0
2026-01-30T00:00:00.000Z,10.975524,10.975524,10.975524,10.975524,0
2026-02-02T00:00:00.000Z,10.978642,10.978642,10.978642,10.978642,0
2026-02-03T00:00:00.000Z,10.97971,10.97971,10.97971,10.97971,0
2026-02-04T00:00:00.000Z,10.98075,10.98075,10.98075,10.98075,0
2026-02-05T00:00:00.000Z,10.981779,10.981779,10.981779,10.981779,0
2026-02-06T00:00:00.000Z,10.982892,10.982892,10.982892,10.982892,0
2026-02-09T00:00:00.000Z,10.985946,10.985946,10.985946,10.985946,0
2026-02-10T00:00:00.000Z,10.98695,10.98695,10.98695,10.98695,0
2026-02-11T00:00:00.000Z,10.987971,10.987971,10.987971,10.987971,0
2026-02-12T00:00:00.000Z,10.989018,10.989018,10.989018,10.989018,0
2026-02-13T00:00:00.000Z,10.990051,10.990051,10.990051,10.990051,0
2026-02-17T00:00:00.000Z,10.99419,10.99419,10.99419,10.99419,0
2026-02-18T00:00:00.000Z,10.995223,10.995223,10.995223,10.995223,0
2026-02-19T00:00:00.000Z,10.996258,10.996258,10.996258,10.996258,0
2026-02-20T00:00:00.000Z,10.997285,10.997285,10.997285,10.997285,0
2026-02-23T00:00:00.000Z,11.000411,11.000411,11.000411,11.000411,0
2026-02-24T00:00:00.000Z,11.001455,11.001455,11.001455,11.001455,0
2026-02-25T00:00:00.000Z,11.002492,11.002492,11.002492,11.002492,0
2026-02-26T00:00:00.000Z,11.003521,11.003521,11.003521,11.003521,0
2026-02-27T00:00:00.000Z,11.004503,11.004503,11.004503,11.004503,0
2026-03-02T00:00:00.000Z,11.007712,11.007712,11.007712,11.007712,0
2026-03-03T00:00:00.000Z,11.008749,11.008749,11.008749,11.008749,0
2026-03-04T00:00:00.000Z,11.009712,11.009712,11.009712,11.009712,0
2026-03-05T00:00:00.000Z,11.010762,11.010762,11.010762,11.010762,0
2026-03-06T00:00:00.000Z,11.011814,11.011814,11.011814,11.011814,0
2026-03-09T00:00:00.000Z,11.014965,11.014965,11.014965,11.014965,0
2026-03-10T00:00:00.000Z,11.016018,11.016018,11.016018,11.016018,0
2026-03-11T00:00:00.000Z,11.017077,11.017077,11.017077,11.017077,0
2026-03-12T00:00:00.000Z,11.018152,11.018152,11.018152,11.018152,0
2026-03-13T00:00:00.000Z,11.019197,11.019197,11.019197,11.019197,0
2026-03-16T00:00:00.000Z,11.022325,11.022325,11.022325,11.022325,0
2026-03-17T00:00:00.000Z,11.023353,11.023353,11.023353,11.023353,0
2026-03-18T00:00:00.000Z,11.024407,11.024407,11.024407,11.024407,0
2026-03-19T00:00:00.000Z,11.025471,11.025471,11.025471,11.025471,0
2026-03-20T00:00:00.000Z,11.026534,11.026534,11.026534,11.026534,0
2026-03-23T00:00:00.000Z,11.029669,11.029669,11.029669,11.029669,0
2026-03-24T00:00:00.000Z,11.030694,11.030694,11.030694,11.030694,0
2026-03-25T00:00:00.000Z,11.031723,11.031723,11.031723,11.031723,0
2026-03-26T00:00:00.000Z,11.032586,11.032586,11.032586,11.032586,0
2026-03-27T00:00:00.000Z,11.033647,11.033647,11.033647,11.033647,0
2026-03-30T00:00:00.000Z,11.036834,11.036834,11.036834,11.036834,0
2026-03-31T00:00:00.000Z,11.037843,11.037843,11.037843,11.037843,0
2026-04-01T00:00:00.000Z,11.0389,11.0389,11.0389,11.0389,0
2026-04-02T00:00:00.000Z,11.040121,11.040121,11.040121,11.040121,0
2026-04-06T00:00:00.000Z,11.044354,11.044354,11.044354,11.044354,0
2026-04-07T00:00:00.000Z,11.045022,11.045022,11.045022,11.045022,0
2026-04-08T00:00:00.000Z,11.046094,11.046094,11.046094,11.046094,0
2026-04-09T00:00:00.000Z,11.047145,11.047145,11.047145,11.047145,0
2026-04-10T00:00:00.000Z,11.048191,11.048191,11.048191,11.048191,0
2026-04-13T00:00:00.000Z,11.051352,11.051352,11.051352,11.051352,0
2026-04-14T00:00:00.000Z,11.052414,11.052414,11.052414,11.052414,0
2026-04-15T00:00:00.000Z,11.053455,11.053455,11.053455,11.053455,0
2026-04-16T00:00:00.000Z,11.054503,11.054503,11.054503,11.054503,0
